regisno,animal_id,prefix,anm_name,sex,category,birth_date,regtype,mating,twin_code,disposal,frac1,brd2,frac2,brd3,frac3,ownr,breeder,sire_reg,dam_reg,dam_dob,birth_work_grp,birth_cont_grp,birth_wt,birth_adj,birth_no_conts,wean_work_grp,wean_cont_grp,wean_feed_code,wean_date,wean_wt,wean_adj,wean_no_conts,year_work_grp,year_cont_grp,year_date,year_wt,year_adj,year_no_conts,birth_cg_no,calv_ease
1681735,B4093,LJRA,LSF_DELLA_Y1059_B4093,C,A,2014-01-29,R,1,1,.,1000,.,.,.,.,35170,33079,1368803,1445394,2011-01-10,669041,R1749067-16,69,73,44,649359,18,1,2014-09-03,540,553,40,670787,23,2015-02-12,986,998,40,14,1
1681736,B4194,LJRA,LSF_O61C_Y1065_B4194,C,A,2014-03-14,R,2,1,.,1000,.,.,.,.,35170,35170,1371233,1445399,2011-01-13,669041,R1749067-21,80,83,39,649359,24,1,2014-10-14,532,547,38,670787,30,2015-03-25,935,950,36,16,1
1681737,4204B,LJRA,LSF_SRR_DENIRO_4204B,B,A,2014-03-13,R,2,1,.,1000,.,.,.,.,35170,33079,1371233,1445612,2011-01-18,669041,R1749067-7,78,81,39,649359,8,1,2014-10-14,602,618,39,670787,11,2015-03-24,1115,1130,39,4,1
1681738,B4205,LJRA,LSF_GILDA_Y1075_B4205,C,A,2014-03-18,R,2,1,.,1000,.,.,.,.,35170,33079,1445601,1445630,2011-01-19,669041,R1749067-21,88,91,39,649359,24,1,2014-10-14,554,577,38,670787,30,2015-03-25,935,958,36,16,1
1681739,B4068,LJRA,LSF_DINA_Y1078_B4068,C,A,2014-01-24,R,1,1,.,1000,.,.,.,.,113269,35170,1042135,1445609,2011-01-19,669041,R1749067-3,71,75,4,649359,3,1,2014-09-03,590,591,3,670787,5,2015-02-12,952,953,3,14,1
1681740,4225B,LJRA,LSF_SRR_DENIRO_4225B,B,A,2014-03-23,R,2,1,.,1000,.,.,.,.,35170,35170,1371233,1445558,2011-01-20,669041,R1749067-7,88,91,39,649359,8,1,2014-10-14,580,617,39,670787,11,2015-03-24,1096,1132,39,4,1
1681742,B4162,LJRA,LSF_MINOLA_Y1085_B4162,C,A,2014-03-04,R,2,1,.,1000,.,.,.,.,35170,35170,1445601,1445572,2011-01-21,669041,R1749067-18,66,69,30,649359,21,1,2014-09-03,510,588,28,670787,26,2015-02-12,928,1006,26,15,1
1681743,4251B,LJRA,LSF_SRR_STRATEGY_4251B,B,A,2014-04-02,R,2,1,.,1000,.,.,.,.,27985,35170,1445601,1445604,2011-01-23,669041,R1749067-9,90,93,47,649359,10,1,2014-10-14,552,610,43,670787,13,2015-03-24,1065,1122,40,6,1
1681744,B4188,LJRA,LSF_WIDELOAD_Y1099_B4188,C,A,2014-03-12,R,2,1,.,1000,.,.,.,.,35170,35170,1445601,1445591,2011-01-25,669041,R1749067-21,97,100,39,649359,24,1,2014-10-14,624,634,38,670787,30,2015-03-25,1098,1107,36,16,1
1681745,4055B,LJRA,LSF_SRR_RUSHMORE_4055B,B,3,2014-01-23,R,1,1,.,500,SM,469,XX,31,66335,35170,.,1445525,2011-01-28,669041,R1749067-2,84,86,44,649359,2,1,2014-09-03,552,540,43,666519,4,2015-02-05,1242,1245,43,2,1
1681747,B4137,LJRA,LSF_GILDA_Y1123_B4137,C,A,2014-02-17,R,1,1,.,1000,.,.,.,.,35170,33079,1441805,1445531,2011-02-06,669041,R1749067-18,80,84,30,649359,21,1,2014-09-03,562,611,28,670787,26,2015-02-12,902,951,26,15,1
1681748,B4167,LJRA,LSF_LARKABA_Y1128_B4167,C,A,2014-03-07,R,2,1,.,1000,.,.,.,.,35170,35170,1444896,1445611,2011-02-09,669041,R1749067-21,65,69,39,649359,24,1,2014-10-14,554,559,38,670787,30,2015-03-25,942,947,36,16,1
1681749,4248B,LJRA,LSF_SRR_STRATEGY_4248B,B,3,2014-04-02,R,2,1,.,500,XX,500,.,.,110090,35170,1445601,3361781,.,669041,R1749067-9,90,90,47,649359,10,1,2014-10-14,510,532,43,670787,13,2015-03-24,1014,1033,40,6,1
1681750,4229B,LJRA,LSF_SRR_DENIRO_4229B,B,A,2014-03-26,R,2,1,.,1000,.,.,.,.,35170,35170,1371233,1445575,2011-02-13,669041,R1749067-9,115,118,47,649359,10,1,2014-10-14,558,603,43,670787,13,2015-03-24,1155,1198,40,6,1
1681751,B4164,LJRA,LSF_JIBA_Y1134_B4164,C,A,2014-03-04,R,2,1,.,1000,.,.,.,.,35170,35170,1444896,1445388,2011-02-14,669041,R1749067-18,76,80,30,649359,21,1,2014-09-03,568,653,28,670787,26,2015-02-12,1066,1149,26,15,1
1681752,4217B,LJRA,LSF_SRR_DENIRO_4217B,B,A,2014-03-18,R,2,1,.,1000,.,.,.,.,35170,33079,1371233,1445523,2011-02-15,669041,R1749067-7,73,76,39,649359,8,1,2014-10-14,590,617,39,670787,11,2015-03-24,1162,1187,39,4,1
1681753,B4207,LJRA,LSF_REBELLA_Y1138_B4207,C,A,2014-03-19,R,2,1,.,1000,.,.,.,.,119517,35170,1445601,1445411,2011-02-17,669041,R1749067-21,76,79,39,649359,24,1,2014-10-14,566,591,38,670787,30,2015-03-25,992,1017,36,16,1
1681754,B4239,LJRA,LSF_GILDA_Y1142_B4239,C,A,2014-04-03,R,2,1,.,1000,.,.,.,.,35170,33079,1547694,1445410,2011-02-19,669041,R1749067-23,75,78,29,649359,26,1,2014-10-14,452,502,25,670787,33,2015-03-25,836,886,23,17,1
1681755,4243B,LJRA,LSF_SRR_CLOUT_4243B,B,A,2014-03-30,C,2,1,.,1000,.,.,.,.,35170,35170,1547694,1445533,2011-02-19,669041,R1749067-7,108,111,39,649359,8,1,2014-10-14,486,537,39,670787,11,2015-03-24,1074,1123,39,4,1
1681756,4177B,LJRA,LSF_SRR_HOOK'S_YUKON_4177B,B,3,2014-02-25,R,1,1,.,500,SM,500,.,.,26380,35170,SM2612543,1445629,2011-03-02,669041,R1749067-4,108,110,50,649359,5,1,2014-09-03,590,647,44,666519,8,2015-02-05,1424,1500,41,3,3
1681757,4290B,LJRA,LSF_SRR_CLOUT_4290B,B,A,2014-05-16,R,2,1,.,1000,.,.,.,.,53805,35170,1547694,1445580,2011-03-08,669041,R1749067-9,57,60,47,649359,11,1,2014-09-03,344,611,1,670787,14,2015-03-24,878,1036,1,6,1
1681758,B4173,LJRA,LSF_COUNTESS_Y1166_B4173,C,A,2014-03-09,R,2,1,.,1000,.,.,.,.,35170,33079,1371233,1445579,2011-03-10,669041,R12536-1,70,74,1,649359,1,1,2014-10-14,484,499,1,670787,1,2015-03-25,918,932,1,29,1
1681759,B4220,LJRA,LSF_VIOLA_Y1170_B4220,C,A,2014-03-27,R,2,1,.,1000,.,.,.,.,35170,35170,1547694,1445517,2011-03-12,669041,R1749067-21,64,68,39,649359,24,1,2014-10-14,534,576,38,670787,30,2015-03-25,908,950,36,16,1
1681760,4086B,LJRA,LSF_SRR_HERDBUILDER_4086B,B,A,2014-01-28,R,1,1,.,1000,.,.,.,.,112446,33079,1445366,1445583,2011-03-26,669041,R1749067-2,83,87,44,649359,2,1,2014-09-03,592,609,43,666519,4,2015-02-05,1172,1210,43,2,1
1681761,4287B,LJRA,LSF_SRR_PATRON_4287B,B,A,2014-05-16,R,2,1,.,1000,.,.,.,.,35170,35170,1547599,1445341,2011-03-26,669041,R1749067-9,68,71,47,649359,10,1,2014-10-14,358,490,43,670787,13,2015-03-24,634,766,40,6,1
1681762,B4225,LJRA,LSF_VACATION_Y1189_B4225,C,A,2014-03-28,R,2,1,.,1000,.,.,.,.,35170,35170,1547694,1445595,2011-04-01,669041,R1749067-23,78,82,29,649359,26,1,2014-10-14,474,518,25,670787,33,2015-03-25,848,892,23,17,1
1681763,B4102,LJRA,LSF_JAMES_Y1193_B4102,C,3,2014-01-30,R,1,1,.,500,SM,500,.,.,35170,33079,SM2612543,1445570,2011-04-06,669041,R1749067-16,84,86,44,649359,18,1,2014-09-03,534,533,40,670787,23,2015-02-12,998,986,40,14,1
1681764,B4261,LJRA,LSF_JIBA_Y1195_B4261,C,A,2014-05-09,R,2,1,.,1000,.,.,.,.,35170,35170,1371233,1445364,2011-04-18,669041,R1749067-23,83,87,29,649359,26,1,2014-10-14,520,667,25,670787,33,2015-03-25,880,1027,23,17,1
1681765,B4250,LJRA,LSF_HAZEL_Y1301_B4250,C,A,2014-04-22,B,2,1,.,1000,.,.,.,.,35170,35170,1547479,1445486,2010-12-31,669041,R1749067-23,75,78,29,649359,26,1,2014-10-14,464,549,25,670787,33,2015-03-25,882,967,23,17,1
1681766,4202B,LJRA,LSF_SRR_PASSWORD_4202B,B,A,2014-03-13,R,2,1,.,1000,.,.,.,.,35170,35170,1444896,1445489,2011-01-06,669041,R1749067-7,73,76,39,649359,8,1,2014-10-14,578,593,39,670787,11,2015-03-24,1086,1100,39,4,1
1681767,B4192,LJRA,LSF_HAZEL_Y1307_B4192,C,A,2014-03-14,R,2,1,.,1000,.,.,.,.,35170,35170,1371233,1445481,2011-01-09,669041,R1749067-21,84,87,39,649359,24,1,2014-10-14,558,572,38,670787,30,2015-03-25,1104,1116,36,16,1
1681768,4135B,LJRA,LSF_SRR_TAKEOFF_4135B,B,A,2014-02-04,R,1,1,.,1000,.,.,.,.,81513,35170,1368803,1445483,2011-01-11,669041,R1749067-4,72,76,50,649359,5,1,2014-09-03,570,597,44,666519,8,2015-02-05,1084,1129,41,3,1
1681769,B4067,LJRA,LSF_WIDELOAD_Y1312_B4067,C,A,2014-01-24,R,1,1,.,1000,.,.,.,.,35170,35170,1441805,1445506,2011-02-02,669041,R1749067-16,60,64,44,649359,18,1,2014-09-03,524,531,40,670787,23,2015-02-12,888,895,40,14,1
1681770,4195B,LJRA,LSF_SRR_STRATEGY_4195B,B,A,2014-03-11,R,2,1,.,1000,.,.,.,.,35170,35170,1445601,1445504,2011-02-03,669041,R1749067-7,78,81,39,649359,8,1,2014-10-14,560,574,39,670787,11,2015-03-24,995,1008,39,4,1
1681771,B4084,LJRA,LSF_DINA_Y1321_B4084,C,A,2014-01-27,R,1,1,.,1000,.,.,.,.,35170,35170,1042135,1445507,2011-02-07,669041,R1749067-16,73,77,44,649359,18,1,2014-09-03,554,564,40,670787,23,2015-02-12,980,989,40,14,1
1681772,B4046,LJRA,LSF_LARKEISA_Y1327_B4046,C,A,2014-01-19,R,1,2,.,1000,.,.,.,.,35170,35170,1368803,1445479,2011-02-22,669041,R12545-1,58,58,0,649359,1,1,2014-09-03,522,485,1,794273,.,.,.,.,0,.,1
1681773,B4177,LJRA,LSF_RUBY_Y1333_B4177,C,A,2014-03-11,R,2,1,.,1000,.,.,.,.,119517,35170,1445601,1445475,2011-02-28,669041,R1749067-21,82,86,39,649359,24,1,2014-10-14,540,553,38,670787,30,2015-03-25,960,972,36,16,1
1681774,B4240,LJRA,LSF_LANA_Y1335_B4240,C,A,2014-04-03,R,2,1,.,1000,.,.,.,.,35170,35170,1547694,1445466,2011-03-02,669041,R1749067-23,59,62,29,649359,26,1,2014-10-14,490,543,25,670787,33,2015-03-25,818,872,23,17,1
1681775,B4196,LJRA,LSF_WIDELOAD_Y1337_B4196,C,A,2014-03-15,R,2,1,.,1000,.,.,.,.,35170,35170,1445601,1445503,2011-03-02,669041,R1749067-21,76,80,39,649359,24,1,2014-10-14,440,463,38,670787,30,2015-03-25,848,871,36,16,1
1681776,4293B,LJRA,LSF_SRR_DENIRO_4293B,B,A,2014-05-20,R,2,1,.,1000,.,.,.,.,35170,35170,1371233,1445469,2011-03-03,669041,R1749067-9,86,89,47,649359,10,1,2014-10-14,448,617,43,670787,13,2015-03-24,940,1108,40,6,1
1681777,4180B,LJRA,LSF_SRR_RUSHMORE_4180B,B,3,2014-02-26,R,1,1,.,500,SM,469,XX,31,66335,35170,.,1445522,2011-03-05,669041,R1749067-4,87,89,50,649359,5,1,2014-09-03,516,572,44,666519,8,2015-02-05,1062,1129,41,3,1
1681778,B4090,LJRA,LSF_ROBIN_Y1347_B4090,C,A,2014-01-28,R,1,1,.,1000,.,.,.,.,111554,35170,1441805,1445459,2011-03-07,669041,R1749067-16,66,70,44,649359,18,1,2014-09-03,464,483,40,670787,23,2015-02-12,800,819,40,14,1
1681779,4108B,LJRA,LSF_SRR_HERDBUILDER_4108B,B,A,2014-01-30,R,1,1,.,1000,.,.,.,.,57753,35170,1445366,1445528,2011-03-07,669041,R1749067-2,90,94,44,649359,2,1,2014-09-03,616,636,43,666519,4,2015-02-05,1178,1218,43,2,1
1681780,4066B,LJRA,LSF_SRR_RUSHMORE_4066B,B,3,2014-01-25,R,1,1,.,500,SM,469,XX,31,66335,35170,.,1445456,2011-03-08,669041,R1749067-2,95,97,44,649359,2,1,2014-09-03,684,669,43,666519,4,2015-02-05,1422,1424,43,2,1
1681781,B4066,LJRA,LSF_DINA_Y1358_B4066,C,A,2014-01-24,R,1,1,.,1000,.,.,.,.,113269,35170,1445368,1445592,2011-03-08,669041,R1749067-3,62,66,4,649359,4,1,2014-10-14,494,458,1,670787,6,2015-02-12,800,867,1,14,1
1681782,4228B,LJRA,LSF_SRR_CLOUT_4228B,B,A,2014-03-25,R,2,1,.,1000,.,.,.,.,63389,35170,1547694,1445342,2011-03-12,669041,R1749067-7,86,90,39,649359,8,1,2014-10-14,542,587,39,670787,11,2015-03-24,1025,1069,39,4,1
1681783,4270B,LJRA,LSF_SRR_CLOUT_4270B,B,A,2014-05-07,R,2,1,.,1000,.,.,.,.,35170,35170,1547694,1445345,2011-03-13,669041,R1749067-9,82,85,47,649359,10,1,2014-10-14,420,545,43,670787,13,2015-03-24,998,1121,40,6,1
1681784,4272B,LJRA,LSF_SRR_CLOUT_4272B,B,A,2014-05-07,R,2,1,.,1000,.,.,.,.,97146,35170,1547694,1445563,2011-03-20,669041,R1749067-9,90,93,47,649359,10,1,2014-10-14,496,641,43,670787,13,2015-03-24,1020,1163,40,6,1
1681785,4192B,LJRA,LSF_SRR_STRATEGY_4192B,B,A,2014-03-10,R,2,1,.,1000,.,.,.,.,117794,35170,1445601,1445599,2011-03-21,669041,R1749067-7,91,95,39,649359,8,1,2014-10-14,482,504,39,670787,11,2015-03-24,964,985,39,4,1
1681786,4139B,LJRA,LSF_SRR_HOOK'S_YUKON_4139B,B,3,2014-02-08,R,1,1,.,500,SM,500,.,.,35170,35170,SM2612543,1445455,2011-04-02,669041,R1749067-4,96,98,50,649359,5,1,2014-09-03,558,577,44,666519,8,2015-02-05,1085,1113,41,3,1
1681787,4199B,LJRA,LSF_SRR_STRATEGY_4199B,B,A,2014-03-12,R,2,1,.,1000,.,.,.,.,35170,35170,1445601,1445617,2011-04-04,669041,R1749067-7,82,86,39,649359,8,1,2014-10-14,496,520,39,670787,11,2015-03-24,964,987,39,4,1
1681789,4212B,LJRA,LSF_SRR_STRATEGY_4212B,B,A,2014-03-17,R,2,1,.,1000,.,.,.,.,35170,35170,1445601,1445546,2011-04-14,669041,R1749067-7,72,76,39,649359,8,1,2014-10-14,550,580,39,670787,11,2015-03-24,992,1021,39,4,1
1681790,B4249,LJRA,LSF_LANA_Y1386_B4249,C,A,2014-04-22,R,2,1,.,1000,.,.,.,.,35170,35170,1547505,1445467,2011-04-16,669041,R1749067-23,70,74,29,649359,26,1,2014-10-14,502,599,25,670787,33,2015-03-25,924,1020,23,17,1
1681791,4095B,LJRA,LSF_SRR_REDEMPTION_4095B,B,A,2014-01-29,R,1,1,.,1000,.,.,.,.,52314,33079,1441805,1445419,2011-01-30,669041,R1749067-2,80,84,44,649359,2,1,2014-09-03,604,620,43,666519,4,2015-02-05,1188,1225,43,2,1
1681792,B4267,LJRA,LSF_RAINDANCE_Y1402_B4267,C,A,2014-05-17,R,2,1,.,1000,.,.,.,.,35170,33079,1547694,1445432,2011-02-02,669041,R1749067-23,65,68,29,649359,26,1,2014-10-14,406,540,25,670787,33,2015-03-25,814,948,23,17,1
1681793,4197B,LJRA,LSF_SRR_PASSWORD_4197B,B,A,2014-03-12,R,2,1,.,1000,.,.,.,.,35170,35170,1444896,1445413,2011-02-03,669041,R1749067-7,68,71,39,649359,8,1,2014-10-14,544,560,39,670787,11,2015-03-24,1010,1025,39,4,1
1681794,B4213,LJRA,LSF_DELLA_Y1411_B4213,C,A,2014-03-24,R,2,1,.,1000,.,.,.,.,113269,33079,1371233,1445426,2011-02-04,669041,R1749067-8,84,87,6,649359,9,1,2014-10-14,582,617,5,670787,12,2015-03-25,930,965,5,16,1
1681795,4264B,LJRA,LSF_SRR_STRTEGY_4264B,B,A,2014-04-24,R,2,1,.,1000,.,.,.,.,110903,35170,1445601,1445434,2011-02-06,669041,R1749067-9,82,85,47,649359,10,1,2014-10-14,526,639,43,670787,13,2015-03-24,1124,1235,40,6,1
1681796,4129B,LJRA,LSF_SRR_RUSHMORE_4129B,B,3,2014-02-02,R,1,1,.,500,SM,469,XX,31,66335,33079,.,1445440,2011-02-07,669041,R1749067-4,83,85,50,649359,5,1,2014-09-03,582,587,44,666519,8,2015-02-05,1220,1239,41,3,1
1681797,B4178,LJRA,LSF_PEARL_Y1802_B4178,C,A,2014-03-11,R,2,1,.,1000,.,.,.,.,35170,56409,1445601,1438580,2011-01-21,669041,R1749067-21,71,74,39,649359,24,1,2014-10-14,584,593,38,670787,30,2015-03-25,988,997,36,16,1
1681798,B4171,LJRA,LSF_CASCADIA_Y1803_B4171,C,A,2014-03-09,R,2,1,.,1000,.,.,.,.,83937,56409,1444896,1438579,2011-01-19,669041,R1749067-21,63,66,39,649359,24,1,2014-10-14,550,557,38,670787,30,2015-03-25,990,996,36,16,1
1681799,4112B,LJRA,LSF_SRR_HOOK'S_YUKON_4112B,B,3,2014-01-31,R,1,1,.,250,SM,734,XX,16,66335,33079,SM2612543,1445336,2011-01-18,669041,R1749067-2,82,85,44,649359,2,1,2014-09-03,648,631,43,666519,4,2015-02-05,1218,1216,43,2,1
1681800,B4269,LJRA,LSF_DELLA_Y1905_B4269,C,3,2014-05-18,R,2,1,.,750,SM,234,XX,16,113269,33079,1371233,1445573,2011-01-24,669041,R1749067-10,72,74,9,649359,12,1,2014-10-14,466,585,9,670787,15,2015-03-25,862,976,9,17,1
1681801,4069B,LJRA,LSF_SRR_HOOK'S_YUKON_4069B,B,3,2014-01-25,B,1,1,.,250,SM,750,.,.,35170,33079,SM2612543,1445578,2011-01-26,669041,R1749067-2,82,85,44,649359,2,1,2014-09-03,684,654,43,666519,4,2015-02-05,1314,1301,43,2,1
1681802,4113B,LJRA,LSF_SRR_RUSHMORE_4113B,B,3,2014-01-31,R,1,1,.,250,SM,703,XX,47,26380,33079,.,1445622,2011-01-27,669041,R1749067-2,82,85,44,649359,2,1,2014-09-03,564,552,43,666519,4,2015-02-05,1178,1182,43,2,1
1681803,B4108,LJRA,LSF_LIZZIE_Y1911_B4108,C,3,2014-01-31,R,1,1,.,250,SM,719,XX,31,35170,35170,.,1445524,2011-02-04,669041,R1749067-16,104,107,44,649359,18,1,2014-09-03,628,610,40,670787,23,2015-02-12,1052,1028,40,14,1
1681804,B4080,LJRA,LSF_ROBIN_Y1915_B4080,C,3,2014-01-26,R,1,1,.,250,SM,750,.,.,35170,35170,SM2612543,1445556,2011-02-08,669041,R1749067-16,76,79,44,649359,18,1,2014-09-03,618,590,40,670787,23,2015-02-12,960,927,40,14,1
1681805,B4273,LJRA,LSF_DINA_Y1918_B4273,C,3,2014-01-25,R,1,1,.,250,SM,727,XX,23,35170,35170,SM2612543,1445530,2011-02-26,669041,R1749067-16,70,73,44,649359,18,1,2014-09-03,566,541,40,670787,23,2015-02-12,900,869,40,14,1
1681806,4274B,LJRA,LSF_SRR_BATTLESHIP_4274B,B,A,2014-05-08,R,2,1,.,1000,.,.,.,.,35170,26380,1550576,1442564,2010-12-30,669041,R3573-1,97,100,1,649359,1,2,2014-10-17,422,533,1,670787,1,2015-03-24,948,1067,1,9,1
1681807,4227B,LJRA,LSF_SRR_BETTER_ANSWER_4227B,B,A,2014-03-24,R,2,1,.,1000,.,.,.,.,35170,26380,1550475,1442552,2011-01-07,669041,R1749067-20,79,82,5,649359,23,2,2014-10-17,640,671,5,670787,28,2015-03-24,1275,1316,4,8,1
1681808,B4174,LJRA,LSF_ABIGRACE_Y7696_B4174,C,A,2014-03-10,R,1,1,.,1000,.,.,.,.,113269,26380,1042135,1442208,2011-01-11,669041,R1749067-19,84,87,5,649359,22,2,2014-10-17,660,657,5,670787,27,2015-03-25,992,996,5,20,1
1681809,4089B,LJRA,LSF_SRR_CONVENIENCE_4089B,B,A,2014-01-28,R,1,1,.,1000,.,.,.,.,112446,26380,1305669,1442186,2011-03-15,669041,R3573-4,82,86,7,649359,4,2,2014-08-15,630,690,7,664408,5,2015-01-15,1195,1283,6,7,1
1681810,4109B,LJRA,LSF_SRR_KEEPING_KIND_4109B,B,A,2014-01-30,R,1,1,.,1000,.,.,.,.,95764,26380,1042135,1427340,2011-01-13,669041,R3573-4,70,74,7,649359,4,2,2014-08-15,615,676,7,664408,5,2015-01-15,1189,1278,6,7,1
1681811,B4234,LJRA,LSF_MS_P707_Y7850_B4234,C,A,2014-04-02,R,2,1,.,1000,.,.,.,.,35170,26380,1550475,1427369,2011-01-16,669041,R1749067-19,59,62,5,649359,22,2,2014-10-17,466,509,5,670787,27,2015-03-25,886,937,5,20,1
1681812,B4002,LJRA,LSF_CHARISMA_Z2001_B4002,C,A,2013-12-22,R,1,1,.,1000,.,.,.,.,35170,35170,1547645,1547579,2012-01-02,669041,R1749067-11,66,73,22,649359,13,1,2014-09-04,590,558,22,670787,16,2015-02-12,1068,1033,22,23,1
1681813,4001B,LJRA,LSF_SRR_REDEMPTION_4001B,B,A,2013-12-22,R,1,1,.,1000,.,.,.,.,91158,35170,1441805,1547577,2012-01-03,669041,R3573-3,73,80,47,649359,3,1,2014-09-04,534,521,44,666519,3,2015-02-05,1120,1132,44,10,1
1681814,4010B,LJRA,LSF_SRR_BRICK_HOUSE_4010B,B,A,2013-12-29,R,1,1,.,1000,.,.,.,.,112446,35170,1441805,1547573,2012-01-06,669041,R3573-3,92,99,47,649359,3,1,2014-09-04,638,620,44,666519,3,2015-02-05,1252,1260,44,10,1
1681815,B4029,LJRA,LSF_COVER_GIRL_Z2005_B4029,C,A,2014-01-04,R,1,1,.,1000,.,.,.,.,35170,35170,1042135,1547592,2012-01-06,669041,R1749067-13,75,82,23,649359,15,1,2014-09-03,600,589,23,670787,18,2015-02-12,1054,1037,22,24,2
1681816,4013B,LJRA,LSF_SRR_REDEMPTION_4013B,B,A,2013-12-30,R,1,1,.,1000,.,.,.,.,112446,35170,1441805,1547529,2012-03-19,669041,R3573-3,72,80,47,649359,3,1,2014-09-04,522,532,44,666519,3,2015-02-05,1114,1149,44,10,1
1681817,4020B,LJRA,LSF_SRR_REDEMPTIOIN_4020B,B,A,2014-01-01,R,1,1,.,1000,.,.,.,.,112446,35170,1441805,1547537,2012-03-22,669041,R3573-3,69,77,47,649359,3,1,2014-09-04,568,573,44,666519,3,2015-02-05,1150,1180,44,10,5
1681818,B4244,LJRA,LSF_LARKABA_Z2051_B4244,C,A,2014-04-12,R,2,1,.,1000,.,.,.,.,35170,35170,1547424,1547495,2012-03-23,669041,R1749067-15,74,81,17,649359,17,1,2014-10-14,458,553,15,670787,20,2015-03-25,905,995,10,25,1
1681819,B4141,LJRA,LSF_SAMOLA_Z2052_B4141,C,A,2014-02-19,R,1,1,.,1000,.,.,.,.,35170,35170,1368797,1547323,2012-03-23,669041,R1749067-13,76,84,23,649359,15,1,2014-09-03,448,526,23,670787,18,2015-02-12,906,978,22,24,1
1681820,4032B,LJRA,LSF_SRR_EPIC_4032B,B,A,2014-01-05,R,1,1,.,1000,.,.,.,.,105863,35170,1042135,1547372,2012-03-25,669041,R3573-3,85,93,47,649359,3,1,2014-09-04,486,512,44,666519,3,2015-02-05,1098,1150,44,10,1
1681821,B4112,LJRA,LSF_SWEETNESS_Z2054_B4112,C,A,2014-01-31,R,1,1,.,1000,.,.,.,.,35170,35170,1042135,1547368,2012-03-27,669041,R1749067-13,65,73,23,649359,15,1,2014-09-03,440,490,23,670787,18,2015-02-12,834,878,22,24,1
1681822,B4051,LJRA,LSF_DINA_Z2055_B4051,C,A,2014-01-21,R,1,1,.,1000,.,.,.,.,113269,35170,1441805,1547507,2012-03-27,669041,R1749067-13,67,75,23,649359,15,1,2014-09-03,480,513,23,670787,18,2015-02-12,850,877,22,24,1
1681823,4104B,LJRA,LSF_SRR_REDEMPTION_4104B,B,A,2014-01-30,R,1,1,.,1000,.,.,.,.,42978,35170,1441805,1547370,2012-04-21,669041,R3573-2,75,83,7,649359,2,1,2014-09-03,518,580,4,666519,2,2015-02-05,1130,1214,3,11,1
1681825,B4165,LJRA,LSF_DINA_Z2072_B4165,C,A,2014-03-06,R,2,1,.,1000,.,.,.,.,35170,35170,1441805,1547591,2012-02-01,669041,R1749067-15,54,61,17,649359,17,1,2014-10-14,382,419,15,670787,20,2015-03-25,855,887,10,25,1
1681826,4029B,LJRA,LSF_SRR_OVERTHROW_4029B,B,A,2014-01-03,R,1,1,.,1000,.,.,.,.,113879,33079,1368803,1547583,2011-12-28,669041,R3573-3,70,77,47,649359,3,1,2014-09-04,570,568,44,666519,3,2015-02-05,1186,1210,44,10,1
1681828,B4001,LJRA,LSF_DELLA_Z2103_B4001,C,A,2013-12-21,R,1,1,.,1000,.,.,.,.,113269,33079,1368797,1547605,2011-12-30,669041,R1749067-11,50,57,22,649359,13,1,2014-09-04,462,452,22,670787,16,2015-02-12,900,887,22,23,1
1681829,B4009,LJRA,LSF_RAINDANCE_Z2104_B4009,C,A,2013-12-25,R,1,1,.,1000,.,.,.,.,35170,33079,1042135,1547581,2012-01-02,669041,R1749067-11,65,72,22,649359,13,1,2014-09-04,600,570,22,670787,16,2015-02-12,1102,1069,22,23,1
1681830,4028B,LJRA,LSF_SRR_PROSPECT_4028B,B,A,2014-01-03,R,1,1,.,1000,.,.,.,.,43401,33079,1547645,1547648,2012-01-06,669041,R3573-3,58,65,47,649359,3,1,2014-09-04,518,522,44,666519,3,2015-02-05,980,1004,44,10,1
1681831,4038B,LJRA,LSF_SRR_TAKEOVER_4038B,B,A,2014-01-09,R,1,1,.,1000,.,.,.,.,116269,33079,1368803,1547548,2012-01-10,669041,R3573-3,65,72,47,649359,3,1,2014-09-04,468,489,44,666519,3,2015-02-05,966,1009,44,10,1
1681832,B4014,LJRA,LSF_CHERISH_Z2108_B4014,C,A,2013-12-26,R,1,1,.,1000,.,.,.,.,35170,33079,1547645,1547509,2012-01-16,669041,R1749067-11,58,66,22,649359,13,1,2014-09-04,560,541,22,670787,16,2015-02-12,1010,988,22,23,1
1681833,4021B,LJRA,LSF_SRR_NIGHT_CALVER_4021B,B,A,2014-01-01,R,1,1,.,1000,.,.,.,.,69739,33079,1368797,1547506,2012-01-20,669041,R3573-3,67,75,47,649359,3,1,2014-09-04,540,542,44,666519,3,2015-02-05,1156,1184,44,10,1
1681834,4027B,LJRA,LSF_SRR_REDEMPTION_4027B,B,A,2014-01-03,R,1,1,.,1000,.,.,.,.,112446,33079,1441805,1547606,2012-01-20,669041,R3573-3,71,79,47,649359,3,1,2014-09-04,500,512,44,666519,3,2015-02-05,1074,1110,44,10,1
1681835,B4041,LJRA,LSF_RAINDANCE_Z2122__B4041,C,A,2014-01-15,R,1,1,.,1000,.,.,.,.,35170,33079,1042135,1547435,2012-01-22,669041,R1749067-13,77,84,23,649359,15,1,2014-09-03,578,588,23,670787,18,2015-02-12,990,995,22,24,1
